Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_4_4,standard,21,6,1.0300078429281712e-05,OPTIMAL,6,"[2, 1, 0]"
in_house_4_5,standard,21,3,7.899943739175797e-06,OPTIMAL,3,[2]
in_house_4_6,standard,22,10,1.3699987903237343e-05,OPTIMAL,10,"[0, 1, 2]"
in_house_4_7,standard,21,10,1.9200029782950878e-05,OPTIMAL,10,"[1, 0, 3]"
in_house_4_8,standard,21,6,1.0999967344105244e-05,OPTIMAL,6,"[1, 2]"
in_house_4_9,standard,21,6,7.4999406933784485e-06,OPTIMAL,6,"[1, 2, 0]"
in_house_8_0,standard,42,25,3.50000336766243e-05,SUBOPTIMAL,24,"[6, 1, 0, 2, 3]"
in_house_8_1,standard,41,20,8.300063200294971e-06,SUBOPTIMAL,15,"[4, 2]"
in_house_8_10,standard,41,13,3.0399998649954796e-05,OPTIMAL,13,"[7, 4]"
in_house_8_11,standard,41,15,2.5099958293139935e-05,OPTIMAL,15,"[6, 1]"
in_house_8_12,standard,42,24,8.79995059221983e-06,OPTIMAL,24,"[3, 7, 6, 5, 2]"
in_house_8_13,standard,41,15,1.209997572004795e-05,OPTIMAL,15,"[7, 1]"
in_house_8_14,standard,41,8,1.0199961252510548e-05,SUBOPTIMAL,7,[4]
in_house_8_15,standard,41,10,8.299946784973145e-06,SUBOPTIMAL,8,[2]
in_house_8_16,standard,42,12,1.0899966582655907e-05,OPTIMAL,12,"[1, 2]"
in_house_8_17,standard,41,9,1.810002140700817e-05,OPTIMAL,9,"[6, 2]"
in_house_8_18,standard,42,28,1.0999967344105244e-05,OPTIMAL,28,"[1, 2, 6, 5]"
in_house_8_19,standard,42,35,1.3599987141788006e-05,OPTIMAL,35,"[0, 4, 3, 2, 5, 7, 1]"
in_house_8_2,standard,42,23,9.500072337687016e-06,OPTIMAL,23,"[0, 4, 3, 7, 5]"
in_house_8_20,standard,42,28,1.0699965059757233e-05,OPTIMAL,28,"[4, 7, 2, 6, 5]"
in_house_8_21,standard,42,32,1.1499971151351929e-05,OPTIMAL,32,"[7, 4, 5, 0, 2, 1, 3]"
in_house_8_22,standard,42,31,9.200070053339005e-06,OPTIMAL,31,"[5, 1, 4, 7, 3]"
in_house_8_23,standard,41,8,8.899951353669167e-06,OPTIMAL,8,[2]
in_house_8_24,standard,42,35,1.009996049106121e-05,OPTIMAL,35,"[4, 6, 1, 2, 5, 3]"
in_house_8_3,standard,42,28,1.0399962775409222e-05,SUBOPTIMAL,15,"[1, 4]"
in_house_8_4,standard,42,22,1.379998866468668e-05,SUBOPTIMAL,18,"[0, 2, 7]"
in_house_8_5,standard,42,26,3.300001844763756e-05,OPTIMAL,26,"[3, 5, 7, 1, 2]"
in_house_8_6,standard,41,16,9.7999582067132e-06,SUBOPTIMAL,7,[1]
in_house_8_7,standard,42,28,8.70006624609232e-06,OPTIMAL,28,"[0, 7, 5, 4, 1]"
in_house_8_8,standard,42,27,8.00006091594696e-06,OPTIMAL,27,"[1, 2, 4, 7, 0, 3]"
in_house_8_9,standard,42,19,4.379998426884413e-05,OPTIMAL,19,"[0, 5, 2, 3]"
