Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_8_18,standard,41,10,1.1500000255182385e-05,SUBOPTIMAL,6,"[7, 5]"
in_house_8_19,standard,42,16,9.800016414374113e-06,SUBOPTIMAL,13,"[0, 6, 2, 4, 3]"
in_house_8_2,standard,42,30,8.90000956133008e-06,SUBOPTIMAL,29,"[7, 1, 2, 3, 6, 0]"
in_house_8_20,standard,42,24,9.799987310543656e-06,SUBOPTIMAL,20,"[3, 7, 5, 0]"
in_house_8_21,standard,41,20,1.3899989426136017e-05,SUBOPTIMAL,17,"[2, 0, 7]"
in_house_8_22,standard,42,31,2.929999027401209e-05,SUBOPTIMAL,30,"[0, 4, 5, 2, 1, 7]"
in_house_8_23,standard,42,12,1.7999991541728377e-05,SUBOPTIMAL,8,"[1, 0]"
in_house_8_24,standard,42,25,1.3999990187585354e-05,SUBOPTIMAL,22,"[0, 1, 5, 6, 2, 3]"
in_house_8_3,standard,42,20,2.7399975806474686e-05,SUBOPTIMAL,13,"[6, 2, 1]"
in_house_8_4,standard,41,14,1.279998105019331e-05,SUBOPTIMAL,9,"[0, 1]"
in_house_8_5,standard,42,32,4.320000880397856e-05,SUBOPTIMAL,31,"[0, 7, 3, 5, 4, 1]"
in_house_8_6,standard,42,24,5.8900011936202645e-05,SUBOPTIMAL,16,"[2, 0, 1, 4]"
in_house_8_7,standard,42,21,1.4399993233382702e-05,SUBOPTIMAL,17,"[5, 3, 4, 7]"
in_house_8_8,standard,41,15,1.1199997970834374e-05,SUBOPTIMAL,3,"[5, 0]"
in_house_8_9,standard,42,26,1.0799994925037026e-05,SUBOPTIMAL,21,"[6, 3, 0, 4]"
